restaurant_name,city,cuisines,average_cost_for_two,aggregate_rating,votes
Roll'S Royce,Gurgaon,"Fast Food, North Indian",200,3.2,42
Shree Bikaner Misthan Bhandar,Gurgaon,"Street Food, Mithai",100,3.1,29
Smokey Pan,Gurgaon,"North Indian, Greek, Mughlai",300,3.2,14
Surprise O Meal,Gurgaon,"Continental, North Indian, Chinese",550,3.4,35
Tandoor On The Way,Gurgaon,Fast Food,300,3.2,45
Tawa N Tandoor,Gurgaon,"North Indian, Mughlai, Chinese",600,2.7,51
The Paradise Biryani,Gurgaon,"Biryani, North Indian",700,2.9,22
The Royal,Gurgaon,"Fast Food, Beverages",550,3.3,15
Theka Desi Khaana,Gurgaon,"North Indian, Chinese",350,3.0,12
Tobasco Kitchen,Gurgaon,"Fast Food, Pizza",500,3.2,38
Tpot,Gurgaon,"Fast Food, Beverages",400,3.2,15
Uncle'S Cafe,Gurgaon,"North Indian, Biryani, Fast Food, Chinese",350,2.7,23
Welcome Cafeteria,Gurgaon,"North Indian, Mughlai",600,3.3,23
Yo Yo China Town,Gurgaon,"Chinese, North Indian, South Indian",400,2.8,31
Caterspoint,Gurgaon,"Mexican, American, Healthy Food",500,4.9,223
Bake-A-Boo,Gurgaon,Bakery,200,3.7,55
Burger Hut,Gurgaon,"Burger, Fast Food, Chinese",300,3.6,319
China Gatherings,Gurgaon,"Chinese, Thai",550,3.5,46
Crazy Bhukkhad,Gurgaon,"North Indian, Chinese",400,3.9,54
Deez Biryani & Kebabs,Gurgaon,"Biryani, North Indian, Mughlai",800,3.7,371
Fomads,Gurgaon,"North Indian, Chinese",300,3.6,26
Happy Beings,Gurgaon,"North Indian, Mughlai, Chinese",500,3.5,66
Instadozza,Gurgaon,South Indian,250,3.5,28
Mom'S Kitchen,Gurgaon,North Indian,300,3.5,27
The Baker'S Bar  ... Bakery & Cafe,Gurgaon,"Italian, Lebanese, Fast Food, Bakery",400,3.6,29
Veg Ex,Gurgaon,North Indian,500,3.8,45
Volt - By Plan B,Gurgaon,"Mediterranean, Mughlai, Thai, North Indian, Chinese",1000,3.5,19
Zasty,Gurgaon,"Continental, North Indian, Asian",500,3.5,52
Aahar,Gurgaon,"North Indian, South Indian, Chinese",400,2.0,60
Chicken Bytes,Gurgaon,"North Indian, Mughlai, Chinese",500,2.1,34
Flying Cakes,Gurgaon,Bakery,350,2.2,136
Punjabi Tadka,Gurgaon,North Indian,500,2.2,43
Coldpress Company,Gurgaon,"Healthy Food, Juices, Salad, Italian, Continental",500,4.0,34
Crudo Juicery,Gurgaon,"Beverages, Salad, Beverages",400,4.3,33
First Eat,Gurgaon,"Healthy Food, North Indian, Continental",300,4.0,162
Zoe,Gurgaon,"Juices, Beverages, Healthy Food",700,4.3,217
Dabba Meat,Gurgaon,North Indian,550,3.1,195
Kashmiri Kitchen,Gurgaon,Kashmiri,1000,3.4,210
Rumi'S Kitchen,Gurgaon,"Biryani, Lucknowi, North Indian",500,3.4,165
Baking Bad,Gurgaon,"Italian, Pizza",1000,3.7,98
Bamboo Boat,Gurgaon,"Japanese, Tibetan, Vietnamese, Korean",700,3.8,115
Big Jack'S,Gurgaon,"Continental, Burger, American",800,3.5,129
Kebab Gali,Gurgaon,"North Indian, Mughlai, Biryani",600,3.9,164
Lucknow Mail,Gurgaon,"Awadhi, North Indian, Mughlai",800,3.8,86
Monster'S Cafe,Gurgaon,"Continental, North Indian, Chinese",1200,3.5,269
Monty'S Chicken Wings,Gurgaon,Fast Food,600,3.9,124
My Country Platter,Gurgaon,"Asian, Chinese, North Indian",600,3.8,61
Sara World Cuisine,Gurgaon,"Italian, Fast Food",500,3.9,90
Wah! Amritsar,Gurgaon,"North Indian, Mughlai",750,3.6,213
World In A Box,Gurgaon,"Healthy Food, European, Continental, Salad",750,3.6,461
Bun Intended,Gurgaon,"Burger, American, Fast Food",850,4.2,93
Cafe Gatherings,Gurgaon,"Cafe, Continental",750,4.4,161
Cafe Soul Garden,Gurgaon,"Cafe, Continental, Italian, Pizza",1300,4.1,255
Food O Gram,Gurgaon,"North Indian, Mughlai",600,4.0,88
Happy Hakka,Gurgaon,"Chinese, Asian, Thai",650,4.1,134
Kaiser,Gurgaon,"North Indian, Mughlai",650,4.1,152
Pizza Central,Gurgaon,"Fast Food, Italian, Pizza",600,4.1,151
Tasty Fare,Gurgaon,"American, Fast Food",600,3.4,42
Burger Point,Gurgaon,"Burger, Fast Food",300,3.6,39
Drifters Cafe,Gurgaon,"Chinese, Thai, Asian",400,3.9,40
Oh! Fudge,Gurgaon,"Bakery, Desserts",300,3.8,93
Anjlika,Gurgaon,"Bakery, Desserts, Fast Food",400,3.1,7
Izu,Gurgaon,"Japanese, Sushi",1100,3.4,129
Sugar & Spice - Le Marche,Gurgaon,"Bakery, Fast Food",800,2.9,107
Bizibean,Gurgaon,Cafe,550,3.6,59
Chandchini,Gurgaon,"North Indian, Mithai, Chinese, Street Food",800,3.8,40
Coffee & Chai Co.,Gurgaon,"Italian, Mexican, Cafe",1100,3.6,296
Greek Food & Beyond,Gurgaon,"Greek, Mediterranean",1200,3.6,27
Mediumwelldone,Gurgaon,"American, European, North Indian",1800,3.5,259
Sonya Bakery Cafe,Gurgaon,"Bakery, Desserts, Beverages",350,3.5,34
Soul & Spice Co.,Gurgaon,"North Indian, Street Food, Beverages",1000,3.8,120
7 Degrees Brauhaus,Gurgaon,"Continental, North Indian, European, Finger Food",3200,4.2,1193
Cafe Amaretto,Gurgaon,"Cafe, Italian, European, Bakery",1400,4.1,147
Sibang Bakery,Gurgaon,"Bakery, Desserts, Beverages",500,4.1,227
The Hangout By 1861,Gurgaon,"Continental, American, Italian",1600,4.0,192
The Mad Teapot/The Wishing Chair,Gurgaon,"Cafe, Italian, Bakery",1000,4.4,83
Ninkasi Imperial Brews & Cookery,Gurgaon,"North Indian, Asian, European",3000,4.2,77
Zaffran,Gurgaon,"North Indian, Mughlai",1600,4.1,229
Spiritual Bar & Lounge-Doubletree By Hilton,Gurgaon,"Pizza, Italian",2000,3.4,52
The Food Store - Doubletree By Hilton,Gurgaon,"European, Italian",3000,3.6,58
Barista,Gurgaon,Cafe,650,3.3,25
Burger King,Gurgaon,"Burger, Fast Food",500,3.4,452
Club Mojo,Gurgaon,"North Indian, Chinese",2000,2.6,35
Kfc,Gurgaon,"American, Fast Food, Burger",500,2.6,134
Not Just Paranthas,Gurgaon,North Indian,1100,2.7,426
Shree Rathnam,Gurgaon,"South Indian, North Indian, Chinese",800,2.9,108
Mogli'S Coffee,Gurgaon,Cafe,150,3.8,35
Pind Balluchi,Gurgaon,"North Indian, Mughlai",800,2.6,26
Sip N Bite,Gurgaon,"North Indian, Chinese, Continental",500,3.2,38
Abar Khabo,Gurgaon,Bengali,550,3.6,86
Moti Mahal Delux,Gurgaon,North Indian,1000,3.6,29
The Lost Mughal,Gurgaon,"North Indian, Mughlai, Biryani",700,3.8,43
Fortune Deli - Fortune Select Excalibur,Gurgaon,Bakery,1000,3.6,42
India On My Plate - Fortune Select Excalibur,Gurgaon,"North Indian, Mughlai",2000,4.0,111
Orchid - Fortune Select Global,Gurgaon,"North Indian, Chinese, Continental",2500,2.6,20
Hungry Buffoons,Gurgaon,"North Indian, Italian, Mexican",300,2.7,24
Karim'S,Gurgaon,"Mughlai, North Indian",1000,2.8,261
Manhattan Brewery & Bar Exchange,Gurgaon,"Finger Food, American, Continental, North Indian, Italian",2000,4.6,2093
Di Miso,Gurgaon,"Korean, Japanese, Chinese, Asian",1500,3.6,38
Kuuraku,Gurgaon,Japanese,1250,3.9,106
Vapour Bar Exchange,Gurgaon,"Continental, Finger Food, Chinese, North Indian",1600,3.8,31
19 Flavours Biryani,Gurgaon,"Mughlai, Hyderabadi",700,4.1,84
Bhai Ji Foods,Gurgaon,"North Indian, Chinese",400,3.3,165
Captain Bill$ Deliverz,Gurgaon,"North Indian, Chinese, Fast Food",1000,2.7,185
Curry N Phulka,Gurgaon,"North Indian, Chinese",550,2.8,48
Jaguar,Gurgaon,"Chinese, North Indian",800,2.8,14
Jalsa Lounge,Gurgaon,"North Indian, Chinese",850,3.2,37
Lord Of Grillz,Gurgaon,"Chinese, North Indian, Italian, Continental",800,3.2,30
Midnight Cravings Beyond Control,Gurgaon,"North Indian, Mughlai, Chinese",800,3.3,336
Outback,Gurgaon,"Continental, North Indian",1000,3.4,106
The Cinnamon Kitchen,Gurgaon,"North Indian, Chinese",600,3.4,50
Dudleys,Gurgaon,"American, Continental, Burger",1000,4.6,150
56 Ristorante Italiano,Gurgaon,Italian,2200,3.7,416
All Time Cafe,Gurgaon,"North Indian, Chinese, Thai",500,3.6,32
Baba'S,Gurgaon,"North Indian, Mughlai",900,3.6,110
Chilli Indiana,Gurgaon,Italian,500,3.8,74
Go Kylin,Gurgaon,"Japanese, Chinese, Asian, Malaysian, Thai, Vietnamese",1500,3.5,81
Just For Chai,Gurgaon,Cafe,450,3.5,116
Kabab Mistri,Gurgaon,"North Indian, Mughlai, Biryani",550,3.6,36
Nashta,Gurgaon,"Healthy Food, Continental",700,3.7,224
Nooba,Gurgaon,Chinese,1500,3.6,148
Side Wok,Gurgaon,"Burmese, Chinese, Japanese, Malaysian, Thai",2000,3.9,280
Takamaka,Gurgaon,"North Indian, Continental, Italian",1700,3.9,67
The Ark,Gurgaon,"Seafood, Mediterranean",2000,3.7,45
The Gathering Hut,Gurgaon,"North Indian, Chinese",700,3.5,27
Wangchuk'S Ladakhi Kitchen,Gurgaon,"Tibetan, Nepalese",850,3.6,241
Daawat-E-Kashmir,Gurgaon,"Kashmiri, Mughlai",1200,4.2,146
La Pino'Z Pizza,Gurgaon,"Pizza, Mexican, Chinese, Italian",1000,4.0,259
The Diet Kitchen,Gurgaon,"Continental, Healthy Food",700,4.0,20
Om Sweets & Snacks,Gurgaon,"North Indian, South Indian, Street Food, Mithai",500,3.1,138
Subway,Gurgaon,"American, Fast Food, Salad, Healthy Food",500,2.8,101
Taste Of Tamil Nadu,Gurgaon,"South Indian, Chinese, North Indian",400,3.1,94
The Bridge - Hotel Clark Inn Gurgaon,Gurgaon,"North Indian, Chinese",1400,2.8,7
Illusion The Lounge Bar - Hotel Clark Inn Gurgaon,Gurgaon,"North Indian, Chinese",1400,0.0,2
Gardenia - Hotel Grenville,Gurgaon,"North Indian, Continental, Chinese",1500,2.8,15
Call For Cuisine - Hotel Grenville,Gurgaon,"North Indian, Chinese",600,0.0,2
Armory - Hotel Haut.Monde,Gurgaon,Finger Food,1000,2.9,6
Citron - Hotel Haut.Monde,Gurgaon,"North Indian, Chinese, Continental",1300,2.7,13
Gabbar Meals,Gurgaon,"North Indian, Mughlai",450,3.4,260
Mcdonald'S,Gurgaon,"Fast Food, Burger",500,2.7,90
Crust Bistro,Gurgaon,"Italian, Pizza",800,3.6,144
Dunkin' Donuts,Gurgaon,"Burger, Desserts, Fast Food",600,3.6,243
Kabab Roll Cafe,Gurgaon,"North Indian, Mughlai",600,3.8,121
Starbucks,Gurgaon,Cafe,700,3.8,183
Eggers Madhouse,Gurgaon,Fast Food,500,4.0,647
Gallery Cafн© - Hyatt Place,Gurgaon,Cafe,1500,3.8,73
Coffee To Cocktail Bar - Hyatt Place,Gurgaon,Drinks Only,2100,0.0,0
Spice It - Hotel Ibis,Gurgaon,"Fast Food, North Indian, Chinese",1000,2.7,96
Nukkadwala,Gurgaon,"Fast Food, Street Food",300,3.4,41
Power Play Resto Bar,Gurgaon,"North Indian, American, Italian",1850,2.8,91
Daikichi,Gurgaon,Japanese,1000,3.6,70
The Atrium - By Jukaso It Suites,Gurgaon,"Asian, Bakery",1500,2.8,21
Delhi - Kingdom Of Dreams,Gurgaon,Street Food,500,3.7,364
Lucknow - Kingdom Of Dreams,Gurgaon,Lucknowi,1000,3.7,179
Longitude 77Њб03' Bar - Le Meridien Gurgaon,Gurgaon,Finger Food,1600,3.4,23
I-Kandy - Le Meridien Gurgaon,Gurgaon,Finger Food,4500,3.6,218
Bella Cucina - Le Meridien Gurgaon,Gurgaon,Italian,4000,4.1,38
Bar Code - Leisure Inn,Gurgaon,Finger Food,1900,3.0,6
Bites - Leisure Inn,Gurgaon,"North Indian, Continental, Asian",1400,3.0,19
Outback Bar And Grill - Leisure Inn,Gurgaon,"North Indian, Finger Food",1200,3.0,10
Citrus Cafe - Lemon Tree Premier,Gurgaon,"North Indian, Continental, Chinese",2000,3.2,137
Ammu'S South Indian Restaurant,Gurgaon,South Indian,300,2.8,45
Barista,Gurgaon,Cafe,650,3.3,22
Bengali By Nature,Gurgaon,"Fast Food, Chinese, Bengali",400,3.3,38
Burger Planet,Gurgaon,"North Indian, Chinese, Fast Food",300,3.2,21
Cafe Coffee Day,Gurgaon,Cafe,450,3.1,20
Chini Bowl,Gurgaon,"Chinese, Thai, Japanese, Tibetan",800,2.8,15
E Yum,Gurgaon,"Continental, Italian, Mexican",750,3.4,69
Handi X-Press,Gurgaon,"North Indian, Chinese, Mughlai",550,3.2,75
Ion Club & Dining Lounge,Gurgaon,"Continental, North Indian, Mughlai, Chinese",1800,2.6,115
Komachi,Gurgaon,Japanese,1200,3.2,39
Mehfil-E-Handi,Gurgaon,"North Indian, Chinese, Mughlai",400,2.8,36
Mezbaan'S,Gurgaon,"North Indian, Mughlai, Chinese",600,2.7,61
Mini Mahal Delux,Gurgaon,"North Indian, Chinese",1200,2.8,23
Pita Pan,Gurgaon,"Arabian, Lebanese",600,3.1,82
Sbar Club & Lounge,Gurgaon,Finger Food,2200,3.1,13
China Club,Gurgaon,"Chinese, Asian",2000,3.8,283
Coriander Leaf,Gurgaon,"Mughlai, Pakistani, North Indian",1600,3.8,665
Doughlicious,Gurgaon,"Bakery, Desserts, Fast Food",550,3.6,69
Freshmenu,Gurgaon,"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",600,3.7,198
L'Angoor,Gurgaon,"American, Seafood, Italian, Japanese, Thai",2500,3.5,57
The Cakelicious Factory,Gurgaon,"Bakery, Desserts, Fast Food",200,3.6,43
Green'S,Gurgaon,"Chinese, North Indian, South Indian, Street Food",350,2.3,31
New Zaika,Gurgaon,"North Indian, Chinese",600,2.4,35
Love Is Cakes,Gurgaon,Bakery,600,4.1,246
Costa Coffee,Gurgaon,Cafe,600,3.3,31
Uforia,Gurgaon,"Continental, Asian, North Indian, Italian",1500,3.5,240
Vapour Pub & Brewery,Gurgaon,"Finger Food, Continental, North Indian, Italian, Chinese",1500,3.7,1902
Pirates Of Grill,Gurgaon,"North Indian, Continental, Mughlai, Asian",2000,4.1,2806
Barista Creme Lavazza,Gurgaon,Cafe,650,3.2,13
Frozen Adda,Gurgaon,"Ice Cream, Desserts",350,3.0,5
Mcdonald'S,Gurgaon,"Fast Food, Burger",500,3.2,68
Mr Idli Xpress,Gurgaon,"South Indian, Chinese",450,2.6,120
Buн©No,Gurgaon,"Cafe, American, Desserts, Italian, Bakery",650,3.7,18
Starbucks,Gurgaon,Cafe,700,3.5,66
Al Kabab,Gurgaon,"North Indian, Mughlai",800,2.7,67
Bangkok 1,Gurgaon,Thai,550,3.3,40
Barista,Gurgaon,Cafe,650,3.4,39
Cafe Cravings,Gurgaon,"Cafe, Italian",600,3.4,19
Hello Sichuan,Gurgaon,Chinese,750,2.9,42
Mcdonald'S,Gurgaon,"Fast Food, Burger",500,3.4,234
Rajasthali,Gurgaon,"Gujarati, Rajasthani",750,2.9,501
Street Foods By Punjab Grill,Gurgaon,"Street Food, North Indian",700,2.6,61
Subway,Gurgaon,"American, Fast Food, Salad, Healthy Food",500,3.3,81
Tibb'S Frankie,Gurgaon,Fast Food,350,3.4,118
Tunday Kababi Dastarkhwan-E-Awadh,Gurgaon,"Mughlai, North Indian",700,3.1,13
Dunkin' Donuts,Gurgaon,"Burger, Desserts, Fast Food",600,3.7,26
Haldiram'S,Gurgaon,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600,3.6,185
Keventers,Gurgaon,Beverages,400,3.6,27
Khaaja Chowk,Gurgaon,"North Indian, Mughlai, South Indian, Rajasthani, Street Food",1000,3.6,496
Phantom,Gurgaon,"North Indian, Continental, Chinese",1500,3.5,55
Sage,Gurgaon,"Pizza, Italian",900,3.5,205
Tgi Friday'S,Gurgaon,"American, Tex-Mex",2500,3.7,730
The Belgian Fries Company,Gurgaon,"European, American, Street Food",400,3.7,31
The Grills King,Gurgaon,"North Indian, Chinese, Continental",1400,3.8,468
Chicago Pizza,Gurgaon,Pizza,600,2.3,29
Suburbia - The Empire,Gurgaon,"Continental, European, North Indian",1800,2.1,90
Viva Hyderabad,Gurgaon,"Biryani, North Indian",600,2.3,34
Queens Cafн©,Gurgaon,"Cafe, North Indian",900,4.0,62
Cafe Coffee Day,Gurgaon,Cafe,450,3.3,34
Foa - The Flavours Of Arabia,Gurgaon,"Lebanese, North Indian",1500,3.4,165
A1,Gurgaon,Biryani,200,3.0,4
Apni Rasoi,Gurgaon,North Indian,400,2.9,4
Dbdn Deena Meat Vala,Gurgaon,North Indian,500,3.2,5
Deep Chicken Corner,Gurgaon,North Indian,500,3.2,18
Dilli Rasoi,Gurgaon,"North Indian, Mughlai, Chinese",700,3.2,31
French Omelette,Gurgaon,Fast Food,100,3.2,7
Green Chick Chop,Gurgaon,"Raw Meats, North Indian, Fast Food",350,2.9,5
Hangout Cafe,Gurgaon,"Fast Food, Chinese",200,3.4,27
Hari Om Rasoi,Gurgaon,North Indian,400,3.2,28
Harish Phulwari,Gurgaon,"North Indian, South Indian, Fast Food, Street Food, Mithai",600,3.1,4
Hotel Rajvanshi Restaurant,Gurgaon,"North Indian, Chinese",600,3.3,25
Jagdish Vaishno Dhaba,Gurgaon,North Indian,150,3.1,12
Jvr Jayka,Gurgaon,North Indian,200,2.9,5
Kaza,Gurgaon,"North Indian, Mughlai, South Indian, Chinese",1000,3.1,25
Knight Delight Kafe,Gurgaon,"Fast Food, Chinese",500,2.6,12
Ko Jitters,Gurgaon,"Fast Food, Beverages",450,3.0,6
Laajawab Chaap Express,Gurgaon,North Indian,250,3.1,17
Laddu Gopal,Gurgaon,"North Indian, South Indian, Chinese",400,3.0,13
Mini'S Royal Cafe,Gurgaon,"North Indian, Chinese",500,3.3,21
Pakwan,Gurgaon,"North Indian, Chinese",400,3.4,60
Patiala,Gurgaon,"Mughlai, Chinese",600,3.4,33
Pind Balluchi,Gurgaon,"North Indian, Mughlai",800,2.7,11
Pizza Man,Gurgaon,"Pizza, Fast Food",400,2.9,8
Punjabi Dhani,Gurgaon,North Indian,700,3.2,25
Raju Halwai,Gurgaon,North Indian,450,3.1,7
Rupa Tikki Wala And Caterers,Gurgaon,Street Food,150,2.8,4
Samrat The Cake Shoppe,Gurgaon,"Bakery, Desserts, Fast Food",150,3.0,11
Samrat,Gurgaon,"Bakery, Mithai, Fast Food",400,2.9,10
Sanjha Chula,Gurgaon,North Indian,700,3.0,6
Silver Crown,Gurgaon,"North Indian, Chinese, Street Food, Fast Food",500,2.5,12
Super Bakery,Gurgaon,"Bakery, Fast Food, Chinese",250,3.3,26
The Chic,Gurgaon,Fast Food,200,3.0,15
Unique Bus Wales,Gurgaon,Chinese,200,2.8,16
Dilli 6 Express,Gurgaon,"North Indian, Mughlai",550,3.5,31
Mangle Di Kulfi,Gurgaon,"Ice Cream, Desserts",100,3.6,18
The Oven Artist,Gurgaon,Bakery,800,3.5,25
Bal Ji Rasoi,Gurgaon,North Indian,300,0.0,3
Metro Dhaba,Gurgaon,North Indian,150,0.0,1
Sukhman Food City,Gurgaon,North Indian,200,0.0,1
The Burger Hub,Gurgaon,"Burger, Fast Food, Chinese",300,0.0,3
Pizza Hut Delivery,Gurgaon,"Italian, Pizza, Fast Food",800,2.2,93
Hot Cherries,Gurgaon,Bakery,400,3.6,84
Domino'S Pizza,Gurgaon,"Pizza, Fast Food",700,2.4,112
Coldpress Company,Gurgaon,"Healthy Food, Juices, Salad, Italian, Continental",500,4.1,74
Hahn'S Kitchen,Gurgaon,Korean,1800,3.2,12
Shree Rathnam,Gurgaon,"South Indian, North Indian",800,3.4,36
Caffe Tonino,Gurgaon,"Italian, Pizza, Cafe",1400,3.8,101
Carl'S Jr.,Gurgaon,"Burger, American, Fast Food",650,3.5,45
Delhi Club House,Gurgaon,"North Indian, Continental, Asian",1700,3.9,81
Gogourmet,Gurgaon,"Healthy Food, Beverages",600,3.7,33
Shophouse By Kylin,Gurgaon,"Japanese, Chinese, Thai",1500,3.5,37
Starbucks,Gurgaon,Cafe,700,3.5,16
Baskin Robbins,Gurgaon,Ice Cream,300,3.1,14
Bikaner Sweets & Restaurant,Gurgaon,"Street Food, North Indian, Mithai",350,3.1,9
Burger Bites & More,Gurgaon,"Fast Food, Chinese",450,2.9,19
Cafн© Gramophone,Gurgaon,"Cafe, Fast Food",700,3.2,15
Chawla Bakers,Gurgaon,"Bakery, Street Food",200,3.2,18
Crust N Cakes,Gurgaon,Bakery,550,3.2,6
Darjeeling Kanchanjanga Momos,Gurgaon,"Chinese, Fast Food",200,2.9,4
Desserts 83,Gurgaon,Desserts,200,3.2,10
Giani'S,Gurgaon,"Ice Cream, Desserts",400,3.1,24
Hangover,Gurgaon,"North Indian, Chinese",800,2.7,11
Sangam Sweets,Gurgaon,"Street Food, Mithai, South Indian, North Indian, Chinese",250,2.5,9
Shree Bikaner Misthan Bhandar,Gurgaon,"Mithai, Street Food, Chinese",300,3.0,4
Shree Shyam Rasoi,Gurgaon,North Indian,350,3.1,12
Swad On Grill,Gurgaon,"Continental, Chinese, North Indian, Mughlai",400,3.1,17
The Pepper'S,Gurgaon,"North Indian, Mughlai, Chinese",250,3.0,5
Anisha Restaurant,Gurgaon,"North Indian, Mughlai",400,0.0,1
Annapoorna Foods,Gurgaon,"North Indian, Mughlai, South Indian",600,0.0,1
Bakelicious 18,Gurgaon,"Bakery, Desserts",450,0.0,2
Bansiwala Bakery,Gurgaon,"Bakery, Fast Food",200,0.0,0
Bansiwala Rasoi,Gurgaon,Street Food,300,0.0,0
Bansiwala Sweets,Gurgaon,"Street Food, Mithai",100,0.0,1
Best Pizza Hut,Gurgaon,Fast Food,350,0.0,0
Bikaner Sweets & Restaurant,Gurgaon,"North Indian, Street Food, Mithai",200,0.0,0
Chaska Food Corner,Gurgaon,"Chinese, North Indian",700,0.0,1
Dev Restaurant,Gurgaon,"North Indian, Chinese",600,0.0,0
Dietpoint,Gurgaon,"Chinese, North Indian",600,0.0,0
Gautam Bakery,Gurgaon,"Bakery, Fast Food",150,0.0,0
Hot & Spicy,Gurgaon,"North Indian, Chinese, South Indian, Fast Food",450,0.0,0
Hot Fork,Gurgaon,"Chinese, Fast Food",400,0.0,2
Indochi Cafe & Restaurant,Gurgaon,"North Indian, Mughlai, Chinese",400,0.0,1
Love To Wish,Gurgaon,"Bakery, Desserts",200,0.0,2
M Crнвme,Gurgaon,"Bakery, Desserts",700,0.0,0
Panther Restaurant,Gurgaon,"North Indian, Chinese",600,0.0,0
Pizza King,Gurgaon,"Pizza, Fast Food",600,0.0,1
Radha Swami Shudh Vaishno Dhaba,Gurgaon,North Indian,300,0.0,2
Rd'S Authentic Aroma,Gurgaon,"North Indian, South Indian, Chinese",450,0.0,2
Savour,Gurgaon,Biryani,250,0.0,1
Sheetla Dhaba,Gurgaon,North Indian,400,0.0,0
Shree Bikaner Mishthan Bhandar,Gurgaon,Mithai,500,0.0,2
Shree Shyam Bhojnalaya,Gurgaon,North Indian,350,0.0,3
Shristi Happy Eats,Gurgaon,Street Food,150,0.0,0
Singh Terrace Grill,Gurgaon,North Indian,500,0.0,0
Swami Vaishno Dhaba,Gurgaon,North Indian,300,0.0,0
Wah Ji Wah,Gurgaon,North Indian,400,0.0,1
Cafe 55 - Park Inn,Gurgaon,"Continental, North Indian, Chinese",1500,3.2,13
New Town Lounge & Bar - Park Plaza,Gurgaon,"Continental, Finger Food",3000,3.4,20
New Town Pastry Shop - Park Plaza,Gurgaon,"Bakery, Desserts",1200,3.2,26
New Town Cafe - Park Plaza,Gurgaon,"Continental, American, North Indian, Chinese",2200,3.7,176
The Great Kabab Factory - Park Plaza,Gurgaon,"North Indian, Mughlai",3000,3.7,340
K2 Restaurant,Gurgaon,"Korean, Chinese",2000,3.0,21
Angels In My Kitchen,Gurgaon,"Bakery, Desserts, Fast Food",350,3.1,84
Barista,Gurgaon,Cafe,650,3.3,41
Cafe Coffee Day,Gurgaon,Cafe,450,2.8,18
Cafe Naklee,Gurgaon,Cafe,400,3.2,10
Chacha'S Take Away,Gurgaon,"North Indian, Mughlai",700,2.8,16
Colonel'S Kababz,Gurgaon,"North Indian, Mughlai",900,3.0,61
Domino'S Pizza,Gurgaon,"Pizza, Fast Food",700,2.8,70
Green Chick Chop,Gurgaon,"Raw Meats, North Indian, Fast Food",350,2.8,16
Naushi'S Kitchenette,Gurgaon,"Bakery, Beverages",500,3.4,57
Sapra Pastry Treat,Gurgaon,"Bakery, Fast Food",250,3.0,33
Subway,Gurgaon,"American, Fast Food, Salad, Healthy Food",500,3.2,92
Sunny Sweets,Gurgaon,"Mithai, Street Food",200,3.3,22
The Healthy Rasoi,Gurgaon,"Healthy Food, North Indian, Beverages",500,3.7,25
Burger King,Gurgaon,"Burger, Fast Food",500,3.0,71
Hong Kong Express,Gurgaon,"Chinese, Thai",700,3.2,100
Viva Hyderabad,Gurgaon,"Biryani, North Indian",600,2.3,32
Cafe Rouge - Ramada,Gurgaon,"North Eastern, Continental, South Indian, Fast Food",1500,3.5,194
Shamji Sweets,Gurgaon,Mithai,200,3.2,15
Sialkoti Vaishno Dhaba,Gurgaon,North Indian,250,3.1,16
Haldiram'S,Gurgaon,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600,3.6,315
Club Prison,Gurgaon,Finger Food,1800,2.4,53
Maa Bhagwati Tiffins,Gurgaon,North Indian,200,3.0,4
Spices & Sauces,Gurgaon,"North Indian, Continental",1500,3.0,8
Indian Food Cafe,Gurgaon,North Indian,500,0.0,1
Assam Tea Corner,Gurgaon,"Chinese, Street Food",150,2.8,6
Bakingo,Gurgaon,Bakery,400,3.0,4
Balaji Sweets & Snacks,Gurgaon,"North Indian, South Indian, Chinese",400,2.9,6
Burger Point,Gurgaon,"Burger, Fast Food",300,3.2,20
Burger Xpress,Gurgaon,Fast Food,300,3.1,20
Cafe Coffee Day,Gurgaon,Cafe,450,2.8,34
Cake Factory,Gurgaon,"Bakery, Desserts",300,3.3,36
Cake Maker,Gurgaon,"Street Food, Bakery",200,3.0,5
Captain'S Table,Gurgaon,"Bakery, Desserts",200,3.1,41
Carpedium,Gurgaon,"Bakery, Desserts",200,3.1,7
Chinar Junction,Gurgaon,"North Indian, Chinese",600,2.8,8
Frontier,Gurgaon,Bakery,200,2.9,10
Indian & Chinese Corner,Gurgaon,"North Indian, Chinese",400,3.1,21
Juice Lounge,Gurgaon,"Beverages, Fast Food",350,3.4,25
Kb'S Kulfi & Icecream,Gurgaon,Ice Cream,200,3.3,19
Kb'S Kulfi & Icecream,Gurgaon,Ice Cream,200,3.3,43
Keventers,Gurgaon,Beverages,250,2.6,18
Kfc,Gurgaon,"American, Fast Food, Burger",500,2.7,17
Madras Cafe,Gurgaon,"South Indian, North Indian, Chinese, Fast Food",300,3.3,69
Madurai Meenakshi Bhawan,Gurgaon,"South Indian, North Indian",300,3.4,25
Masala Fusion,Gurgaon,"North Indian, Chinese",600,3.2,52
Moti Mahal Delux Tandoori Trail,Gurgaon,"North Indian, Continental",800,2.9,16
Pind Bawarchi,Gurgaon,"North Indian, Chinese",600,3.1,8
Republic Of Chicken,Gurgaon,"Raw Meats, Fast Food",400,2.8,9
Ridhi Sidhi,Gurgaon,"North Indian, Chinese, South Indian",500,3.0,30
Romi Da Dhaba,Gurgaon,North Indian,450,3.2,34
